v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,16.0,46849,7253,39596,0.0,0.0,0,583.4367577311515,16.0,7,8,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}","{(0, 3): [(0, 18), (18, 3)], (0, 4): []}","{(0, 0): {'cpu': 13}, (1, 1): {'cpu': 11}, (2, 2): {'cpu': 15}, (3, 3): {'cpu': 9}, (4, 4): {'cpu': 8}, (5, 5): {'cpu': 14}, (6, 6): {'cpu': 6}}","{((0, 3), (0, 18)): {'bw': 48}, ((0, 3), (18, 3)): {'bw': 48}}",0.0,0.0,255.0,76.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1.9258888561341907,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -81}, 1: {'cpu': -86}, 2: {'cpu': -35}, 3: {'cpu': -44}, 4: {'cpu': -45}, 5: {'cpu': -75}, 6: {'cpu': -53}}, 'link_level': {(0, 3): {'bw': -6}, (0, 4): {'bw': -30}}, 'path_level': {(0, 3): {'latency': -10.356377492812527}, (0, 4): {'latency': 1.9258888561341907}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 1.9258888561341907}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,2.0
2,1,1,26.0,27.0,27615.08313701147,28677.20171920422,0.9629629629629629,0.9629629629629629,2,1,1,30.0,46822,7228,39594,0.003446849579484379,5.051015254065039e-05,1,1062.1185821927488,30.0,2,1,True,"{0: 0, 1: 1}","{(0, 1): [(0, 74), (74, 1)]}","{(0, 0): {'cpu': 10}, (1, 1): {'cpu': 15}}","{((0, 1), (0, 74)): {'bw': 1}, ((0, 1), (74, 1)): {'bw': 1}}",27.0,26.0,26.0,25.0,1.0,25.0,1.0,25.0,2.0,1.0,0.9629629629629629,28677.20171920422,27615.08313701147,1022.7808569263507,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -84}, 1: {'cpu': -82}}, 'link_level': {(0, 1): {'bw': -77}}, 'path_level': {(0, 1): {'latency': -3.129271029993494}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
3,1,1,26.0,27.0,27615.08313701147,28677.20171920422,0.9629629629629629,0.9629629629629629,2,2,1,43.0,46822,7228,39594,0.003446849579484379,5.051015254065039e-05,2,1251.955851751608,43.0,5,6,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}","{(0, 1): []}","{(0, 0): {'cpu': 4}, (1, 1): {'cpu': 17}, (2, 2): {'cpu': 13}, (3, 3): {'cpu': 6}, (4, 4): {'cpu': 14}}",{},0.0,0.0,253.0,54.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.250937986915662,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 1: {'cpu': -65}, 2: {'cpu': -37}, 3: {'cpu': -47}, 4: {'cpu': -39}}, 'link_level': {(0, 1): {'bw': -20}}, 'path_level': {(0, 1): {'latency': 5.250937986915662}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 5.250937986915662}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,1.0
4,1,1,26.0,27.0,27615.08313701147,28677.20171920422,0.9629629629629629,0.9629629629629629,2,3,1,52.0,46822,7228,39594,0.003446849579484379,5.051015254065039e-05,3,122.1977268888015,52.0,5,5,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}","{(0, 2): [(0, 18), (18, 2)], (0, 4): []}","{(0, 0): {'cpu': 9}, (1, 1): {'cpu': 2}, (2, 2): {'cpu': 6}, (3, 3): {'cpu': 8}, (4, 4): {'cpu': 1}}","{((0, 2), (0, 18)): {'bw': 34}, ((0, 2), (18, 2)): {'bw': 34}}",0.0,0.0,174.0,26.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2.768858914623209,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -80}, 2: {'cpu': -44}, 3: {'cpu': -45}, 4: {'cpu': -52}}, 'link_level': {(0, 2): {'bw': -36}, (0, 4): {'bw': -46}}, 'path_level': {(0, 2): {'latency': -10.56204838845579}, (0, 4): {'latency': 2.768858914623209}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (0, 4): {'latency': 2.768858914623209}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,2.0
5,2,2,308.0,564.0,145046.0192142588,252295.68637694116,0.5460992907801419,0.5749048717287758,9,4,1,65.0,46285,7138,39147,0.015855508065627966,0.011339529245378288,4,416.4217591391749,65.0,9,10,True,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 2): [(0, 18), (18, 2)], (1, 4): [(1, 13), (13, 4)], (1, 6): [(1, 13), (13, 4), (4, 6)], (1, 8): [(1, 12), (12, 2), (2, 8)], (2, 3): [(2, 12), (12, 3)], (2, 4): [(2, 8), (8, 28), (28, 4)], (2, 7): [(2, 38), (38, 7)], (2, 8): [(2, 38), (38, 8)], (4, 7): [(4, 13), (13, 7)], (5, 6): [(5, 90), (90, 6)]}","{(0, 0): {'cpu': 19}, (1, 1): {'cpu': 19}, (2, 2): {'cpu': 7}, (3, 3): {'cpu': 12}, (4, 4): {'cpu': 1}, (5, 5): {'cpu': 5}, (6, 6): {'cpu': 14}, (7, 7): {'cpu': 10}, (8, 8): {'cpu': 3}}","{((0, 2), (0, 18)): {'bw': 34}, ((0, 2), (18, 2)): {'bw': 34}, ((1, 4), (1, 13)): {'bw': 13}, ((1, 4), (13, 4)): {'bw': 13}, ((1, 6), (1, 13)): {'bw': 16}, ((1, 6), (13, 4)): {'bw': 16}, ((1, 6), (4, 6)): {'bw': 16}, ((1, 8), (1, 12)): {'bw': 34}, ((1, 8), (12, 2)): {'bw': 34}, ((1, 8), (2, 8)): {'bw': 34}, ((2, 3), (2, 12)): {'bw': 24}, ((2, 3), (12, 3)): {'bw': 24}, ((2, 4), (2, 8)): {'bw': 13}, ((2, 4), (8, 28)): {'bw': 13}, ((2, 4), (28, 4)): {'bw': 13}, ((2, 7), (2, 38)): {'bw': 6}, ((2, 7), (38, 7)): {'bw': 6}, ((2, 8), (2, 38)): {'bw': 39}, ((2, 8), (38, 8)): {'bw': 39}, ((4, 7), (4, 13)): {'bw': 2}, ((4, 7), (13, 7)): {'bw': 2}, ((5, 6), (5, 90)): {'bw': 11}, ((5, 6), (90, 6)): {'bw': 11}}",537.0,282.0,282.0,90.0,192.0,90.0,192.0,90.0,447.0,255.0,0.5251396648044693,223618.48465773693,117430.93607724733,218.67958301163375,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -65}, 1: {'cpu': -63}, 2: {'cpu': -43}, 3: {'cpu': -41}, 4: {'cpu': -52}, 5: {'cpu': -84}, 6: {'cpu': -45}, 7: {'cpu': -59}, 8: {'cpu': -68}}, 'link_level': {(0, 2): {'bw': -36}, (1, 4): {'bw': -50}, (1, 6): {'bw': -34}, (1, 8): {'bw': -26}, (2, 3): {'bw': -2}, (2, 4): {'bw': -28}, (2, 7): {'bw': -70}, (2, 8): {'bw': -23}, (4, 7): {'bw': -32}, (5, 6): {'bw': -67}}, 'path_level': {(0, 2): {'latency': -3.0447502847730963}, (1, 4): {'latency': -1.0882452139484617}, (1, 6): {'latency': -1.9891732330429148}, (1, 8): {'latency': -7.9598507380194015}, (2, 3): {'latency': -7.079827172040388}, (2, 4): {'latency': -8.20610711623506}, (2, 7): {'latency': -4.370005254576468}, (2, 8): {'latency': -4.298781287224529}, (4, 7): {'latency': -6.190131022721946}, (5, 6): {'latency': -2.5649710562239125}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (1, 4): {'latency': 0}, (1, 6): {'latency': 0}, (1, 8): {'latency': 0}, (2, 3): {'latency': 0}, (2, 4): {'latency': 0}, (2, 7): {'latency': 0}, (2, 8): {'latency': 0}, (4, 7): {'latency': 0}, (5, 6): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,9.0,10.0
6,2,2,308.0,564.0,145046.0192142588,252295.68637694116,0.5460992907801419,0.5749048717287758,9,5,1,72.0,46285,7138,39147,0.015855508065627966,0.011339529245378288,5,1001.6202513226889,72.0,5,6,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}","{(0, 2): []}","{(0, 0): {'cpu': 1}, (1, 1): {'cpu': 11}, (2, 2): {'cpu': 13}, (3, 3): {'cpu': 1}, (4, 4): {'cpu': 8}}",{},0.0,0.0,177.0,34.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.8250368304274645,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -64}, 1: {'cpu': -52}, 2: {'cpu': -30}, 3: {'cpu': -40}, 4: {'cpu': -44}}, 'link_level': {(0, 2): {'bw': -48}}, 'path_level': {(0, 2): {'latency': 6.8250368304274645}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 6.8250368304274645}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,1.0
7,2,2,308.0,564.0,145046.0192142588,252295.68637694116,0.5460992907801419,0.5749048717287758,9,6,1,84.0,46285,7138,39147,0.015855508065627966,0.011339529245378288,6,355.62396831078695,84.0,7,9,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}","{(0, 2): [(0, 18), (18, 2)], (1, 2): []}","{(0, 0): {'cpu': 16}, (1, 1): {'cpu': 7}, (2, 2): {'cpu': 15}, (3, 3): {'cpu': 2}, (4, 4): {'cpu': 5}, (5, 5): {'cpu': 17}, (6, 6): {'cpu': 5}}","{((0, 2), (0, 18)): {'bw': 8}, ((0, 2), (18, 2)): {'bw': 8}}",0.0,0.0,288.0,67.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.568714430398261,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -49}, 1: {'cpu': -56}, 2: {'cpu': -28}, 3: {'cpu': -39}, 4: {'cpu': -47}, 5: {'cpu': -67}, 6: {'cpu': -40}}, 'link_level': {(0, 2): {'bw': -28}, (1, 2): {'bw': -42}}, 'path_level': {(0, 2): {'latency': -10.02360166168733}, (1, 2): {'latency': 4.568714430398261}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (1, 2): {'latency': 4.568714430398261}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,2.0
8,2,2,308.0,564.0,145046.0192142588,252295.68637694116,0.5460992907801419,0.5749048717287758,9,7,1,97.0,46285,7138,39147,0.015855508065627966,0.011339529245378288,7,1242.7911631197298,97.0,4,5,False,"{0: 0, 1: 1, 2: 2, 3: 3}","{(0, 1): []}","{(0, 0): {'cpu': 10}, (1, 1): {'cpu': 9}, (2, 2): {'cpu': 18}, (3, 3): {'cpu': 20}}",{},0.0,0.0,236.0,57.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.890948567323693,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -55}, 1: {'cpu': -54}, 2: {'cpu': -25}, 3: {'cpu': -21}}, 'link_level': {(0, 1): {'bw': -28}}, 'path_level': {(0, 1): {'latency': 5.890948567323693}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 5.890948567323693}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,4.0,1.0
9,2,2,308.0,564.0,145046.0192142588,252295.68637694116,0.5460992907801419,0.5749048717287758,9,8,1,112.0,46285,7138,39147,0.015855508065627966,0.011339529245378288,8,1270.1522428022445,112.0,6,8,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}","{(0, 1): []}","{(0, 0): {'cpu': 15}, (1, 1): {'cpu': 6}, (2, 2): {'cpu': 20}, (3, 3): {'cpu': 16}, (4, 4): {'cpu': 14}, (5, 5): {'cpu': 12}}",{},0.0,0.0,302.0,83.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.451857240156482,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -50}, 1: {'cpu': -57}, 2: {'cpu': -23}, 3: {'cpu': -25}, 4: {'cpu': -38}, 5: {'cpu': -72}}, 'link_level': {(0, 1): {'bw': -57}}, 'path_level': {(0, 1): {'latency': 5.451857240156482}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 5.451857240156482}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,6.0,1.0
10,2,2,308.0,564.0,145046.0192142588,252295.68637694116,0.5460992907801419,0.5749048717287758,9,9,1,126.0,46285,7138,39147,0.015855508065627966,0.011339529245378288,9,43.385244437624735,126.0,9,22,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 3): [(0, 18), (18, 3)], (0, 4): [(0, 50), (50, 4)], (0, 6): [(0, 75), (75, 6)], (0, 7): [(0, 38), (38, 7)], (0, 8): [(0, 38), (38, 8)], (1, 2): [(1, 72), (72, 2)], (1, 5): [(1, 74), (74, 5)], (1, 6): [(1, 80), (80, 56), (56, 6)], (1, 8): []}","{(0, 0): {'cpu': 11}, (1, 1): {'cpu': 18}, (2, 2): {'cpu': 6}, (3, 3): {'cpu': 5}, (4, 4): {'cpu': 5}, (5, 5): {'cpu': 16}, (6, 6): {'cpu': 3}, (7, 7): {'cpu': 12}, (8, 8): {'cpu': 3}}","{((0, 3), (0, 18)): {'bw': 34}, ((0, 3), (18, 3)): {'bw': 34}, ((0, 4), (0, 50)): {'bw': 47}, ((0, 4), (50, 4)): {'bw': 47}, ((0, 6), (0, 75)): {'bw': 20}, ((0, 6), (75, 6)): {'bw': 20}, ((0, 7), (0, 38)): {'bw': 49}, ((0, 7), (38, 7)): {'bw': 49}, ((0, 8), (0, 38)): {'bw': 12}, ((0, 8), (38, 8)): {'bw': 12}, ((1, 2), (1, 72)): {'bw': 34}, ((1, 2), (72, 2)): {'bw': 34}, ((1, 5), (1, 74)): {'bw': 26}, ((1, 5), (74, 5)): {'bw': 26}, ((1, 6), (1, 80)): {'bw': 34}, ((1, 6), (80, 56)): {'bw': 34}, ((1, 6), (56, 6)): {'bw': 34}}",0.0,0.0,732.0,79.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,16.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -54}, 1: {'cpu': -45}, 2: {'cpu': -37}, 3: {'cpu': -36}, 4: {'cpu': -47}, 5: {'cpu': -68}, 6: {'cpu': -42}, 7: {'cpu': -47}, 8: {'cpu': -65}}, 'link_level': {(0, 3): {'bw': -2}, (0, 4): {'bw': -23}, (0, 6): {'bw': -30}, (0, 7): {'bw': -28}, (0, 8): {'bw': -11}, (1, 2): {'bw': -48}, (1, 5): {'bw': -31}, (1, 6): {'bw': -16}, (1, 8): {'bw': 16}}, 'path_level': {(0, 3): {'latency': -9.412835989032324}, (0, 4): {'latency': -5.423043907035222}, (0, 6): {'latency': -9.219808753094563}, (0, 7): {'latency': -5.329010362048466}, (0, 8): {'latency': -3.072238423472317}, (1, 2): {'latency': -2.1043066799638215}, (1, 5): {'latency': -1.1617658155702806}, (1, 6): {'latency': -0.31916331479455007}, (1, 8): {'latency': 4.4681954815783484}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 16}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (0, 6): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 0}, (1, 2): {'latency': 0}, (1, 5): {'latency': 0}, (1, 6): {'latency': 0}, (1, 8): {'latency': 4.4681954815783484}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,9.0
