v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,42634,7761,34873,0.0,0.0,0,69.22537333413192,11.0,10,20,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}","{(0, 1): [(0, 65), (65, 1)], (0, 3): [(0, 51), (51, 25), (25, 3)], (0, 6): []}","{(0, 0): {'cpu': 2}, (1, 1): {'cpu': 16}, (2, 2): {'cpu': 20}, (3, 3): {'cpu': 18}, (4, 4): {'cpu': 16}, (5, 5): {'cpu': 14}, (6, 6): {'cpu': 5}, (7, 7): {'cpu': 1}, (8, 8): {'cpu': 14}, (9, 9): {'cpu': 3}}","{((0, 1), (0, 65)): {'bw': 42}, ((0, 1), (65, 1)): {'bw': 42}, ((0, 3), (0, 51)): {'bw': 50}, ((0, 3), (51, 25)): {'bw': 50}, ((0, 3), (25, 3)): {'bw': 50}}",0.0,0.0,816.0,109.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.965409072607758,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -90}, 1: {'cpu': -58}, 2: {'cpu': -33}, 3: {'cpu': -40}, 4: {'cpu': -34}, 5: {'cpu': -57}, 6: {'cpu': -64}, 7: {'cpu': -59}, 8: {'cpu': -79}, 9: {'cpu': -88}}, 'link_level': {(0, 1): {'bw': -14}, (0, 3): {'bw': -13}, (0, 6): {'bw': -33}}, 'path_level': {(0, 1): {'latency': -4.919666526305257}, (0, 3): {'latency': -2.7912220385783577}, (0, 6): {'latency': 5.965409072607758}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 6): {'latency': 5.965409072607758}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,3.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,15.0,42634,7761,34873,0.0,0.0,1,402.9091007123842,15.0,5,5,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}","{(0, 1): [(0, 65), (65, 1)], (0, 4): [(0, 4)], (1, 3): []}","{(0, 0): {'cpu': 17}, (1, 1): {'cpu': 19}, (2, 2): {'cpu': 16}, (3, 3): {'cpu': 19}, (4, 4): {'cpu': 16}}","{((0, 1), (0, 65)): {'bw': 10}, ((0, 1), (65, 1)): {'bw': 10}, ((0, 4), (0, 4)): {'bw': 14}}",0.0,0.0,175.0,87.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.906958791662741,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -55}, 2: {'cpu': -37}, 3: {'cpu': -39}, 4: {'cpu': -34}}, 'link_level': {(0, 1): {'bw': -46}, (0, 4): {'bw': -60}, (1, 3): {'bw': -29}}, 'path_level': {(0, 1): {'latency': -3.926725855112494}, (0, 4): {'latency': -4.372758978019464}, (1, 3): {'latency': 7.906958791662741}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 7.906958791662741}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,3.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,30.0,42634,7761,34873,0.0,0.0,2,104.01345834808855,30.0,10,20,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}","{(0, 1): [(0, 65), (65, 1)], (0, 3): []}","{(0, 0): {'cpu': 16}, (1, 1): {'cpu': 16}, (2, 2): {'cpu': 11}, (3, 3): {'cpu': 10}, (4, 4): {'cpu': 14}, (5, 5): {'cpu': 15}, (6, 6): {'cpu': 19}, (7, 7): {'cpu': 14}, (8, 8): {'cpu': 15}, (9, 9): {'cpu': 5}}","{((0, 1), (0, 65)): {'bw': 26}, ((0, 1), (65, 1)): {'bw': 26}}",0.0,0.0,631.0,135.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.137051964021472,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -76}, 1: {'cpu': -58}, 2: {'cpu': -42}, 3: {'cpu': -48}, 4: {'cpu': -36}, 5: {'cpu': -56}, 6: {'cpu': -50}, 7: {'cpu': -46}, 8: {'cpu': -78}, 9: {'cpu': -86}}, 'link_level': {(0, 1): {'bw': -30}, (0, 3): {'bw': -16}}, 'path_level': {(0, 1): {'latency': -2.1832994668567967}, (0, 3): {'latency': 8.137051964021472}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 8.137051964021472}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,2.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,43.0,42634,7761,34873,0.0,0.0,3,1519.332862724567,43.0,10,27,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}","{(0, 2): [(0, 4), (4, 21), (21, 2)], (0, 4): [(0, 4)], (0, 7): [(0, 4), (4, 7)], (0, 8): [(0, 11), (11, 8)], (1, 3): [(1, 8), (8, 25), (25, 3)], (1, 4): []}","{(0, 0): {'cpu': 9}, (1, 1): {'cpu': 18}, (2, 2): {'cpu': 18}, (3, 3): {'cpu': 2}, (4, 4): {'cpu': 4}, (5, 5): {'cpu': 3}, (6, 6): {'cpu': 11}, (7, 7): {'cpu': 8}, (8, 8): {'cpu': 20}, (9, 9): {'cpu': 20}}","{((0, 2), (0, 4)): {'bw': 14}, ((0, 2), (4, 21)): {'bw': 14}, ((0, 2), (21, 2)): {'bw': 14}, ((0, 4), (0, 4)): {'bw': 9}, ((0, 7), (0, 4)): {'bw': 49}, ((0, 7), (4, 7)): {'bw': 49}, ((0, 8), (0, 11)): {'bw': 33}, ((0, 8), (11, 8)): {'bw': 33}, ((1, 3), (1, 8)): {'bw': 39}, ((1, 3), (8, 25)): {'bw': 39}, ((1, 3), (25, 3)): {'bw': 39}}",0.0,0.0,864.0,113.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.698983635985812,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -83}, 1: {'cpu': -56}, 2: {'cpu': -35}, 3: {'cpu': -56}, 4: {'cpu': -46}, 5: {'cpu': -68}, 6: {'cpu': -58}, 7: {'cpu': -52}, 8: {'cpu': -73}, 9: {'cpu': -71}}, 'link_level': {(0, 2): {'bw': -55}, (0, 4): {'bw': -51}, (0, 7): {'bw': -2}, (0, 8): {'bw': -24}, (1, 3): {'bw': -11}, (1, 4): {'bw': -29}}, 'path_level': {(0, 2): {'latency': -6.019720182582088}, (0, 4): {'latency': -4.581979045597831}, (0, 7): {'latency': -7.6191779723441755}, (0, 8): {'latency': -7.597643285435405}, (1, 3): {'latency': -1.2182181197769264}, (1, 4): {'latency': 8.698983635985812}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (0, 7): {'bw': 0}, (0, 8): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 2): {'latency': 0}, (0, 4): {'latency': 0}, (0, 7): {'latency': 0}, (0, 8): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 8.698983635985812}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,6.0
5,1,1,32.0,49.0,18311.741111009796,28039.853576233752,0.6530612244897959,0.6530612244897959,2,4,1,59.0,42585,7746,34839,0.0019327406262079627,0.0009749663063114422,4,572.2419097190561,59.0,2,1,True,"{0: 0, 1: 1}","{(0, 1): [(0, 65), (65, 1)]}","{(0, 0): {'cpu': 12}, (1, 1): {'cpu': 3}}","{((0, 1), (0, 65)): {'bw': 17}, ((0, 1), (65, 1)): {'bw': 17}}",49.0,32.0,32.0,15.0,17.0,15.0,17.0,15.0,34.0,17.0,0.6530612244897959,28039.853576233752,18311.741111009796,373.709002265506,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 1: {'cpu': -71}}, 'link_level': {(0, 1): {'bw': -39}}, 'path_level': {(0, 1): {'latency': -1.1800434902753105}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
6,1,1,32.0,49.0,18311.741111009796,28039.853576233752,0.6530612244897959,0.6530612244897959,2,5,1,71.0,42585,7746,34839,0.0019327406262079627,0.0009749663063114422,5,389.37396559521494,71.0,7,12,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}","{(0, 3): [(0, 51), (51, 25), (25, 3)], (0, 4): [(0, 4)], (1, 3): []}","{(0, 0): {'cpu': 14}, (1, 1): {'cpu': 13}, (2, 2): {'cpu': 14}, (3, 3): {'cpu': 20}, (4, 4): {'cpu': 5}, (5, 5): {'cpu': 16}, (6, 6): {'cpu': 9}}","{((0, 3), (0, 51)): {'bw': 17}, ((0, 3), (51, 25)): {'bw': 17}, ((0, 3), (25, 3)): {'bw': 17}, ((0, 4), (0, 4)): {'bw': 17}}",0.0,0.0,327.0,91.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,10.069589612713342,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -66}, 1: {'cpu': -58}, 2: {'cpu': -39}, 3: {'cpu': -38}, 4: {'cpu': -45}, 5: {'cpu': -55}, 6: {'cpu': -60}}, 'link_level': {(0, 3): {'bw': -46}, (0, 4): {'bw': -57}, (1, 3): {'bw': 2}}, 'path_level': {(0, 3): {'latency': -2.4379928742933803}, (0, 4): {'latency': -11.695750766183938}, (1, 3): {'latency': 10.069589612713342}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 2}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (1, 3): {'latency': 10.069589612713342}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,3.0
6,1,1,32.0,49.0,18311.741111009796,28039.853576233752,0.6530612244897959,0.6530612244897959,2,6,0,80.22537333413192,42585,7746,34839,0.0019327406262079627,0.0009749663063114422,0,69.22537333413192,11.0,10,20,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
7,1,1,32.0,49.0,18311.741111009796,28039.853576233752,0.6530612244897959,0.6530612244897959,2,7,1,88.0,42585,7746,34839,0.0019327406262079627,0.0009749663063114422,6,614.0996225091485,88.0,5,5,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}","{(0, 1): []}","{(0, 0): {'cpu': 20}, (1, 1): {'cpu': 9}, (2, 2): {'cpu': 15}, (3, 3): {'cpu': 7}, (4, 4): {'cpu': 14}}",{},0.0,0.0,182.0,65.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3.7720479025441995,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -60}, 1: {'cpu': -62}, 2: {'cpu': -38}, 3: {'cpu': -51}, 4: {'cpu': -36}}, 'link_level': {(0, 1): {'bw': -15}}, 'path_level': {(0, 1): {'latency': 3.7720479025441995}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 3.7720479025441995}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,5.0,1.0
8,2,2,360.0,574.0,68556.61666835399,108462.29158722676,0.627177700348432,0.6320778923725753,7,8,1,94.0,42060,7681,34379,0.010307950006442468,0.014165686921113751,7,153.18559621141526,94.0,7,9,True,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}","{(0, 4): [(0, 4)], (0, 6): [(0, 65), (65, 6)], (1, 2): [(1, 22), (22, 2)], (1, 5): [(1, 5)], (2, 4): [(2, 21), (21, 4)], (2, 5): [(2, 21), (21, 5)], (3, 4): [(3, 58), (58, 4)], (3, 6): [(3, 40), (40, 29), (29, 6)], (4, 5): [(4, 29), (29, 5)]}","{(0, 0): {'cpu': 4}, (1, 1): {'cpu': 15}, (2, 2): {'cpu': 4}, (3, 3): {'cpu': 14}, (4, 4): {'cpu': 5}, (5, 5): {'cpu': 19}, (6, 6): {'cpu': 4}}","{((0, 4), (0, 4)): {'bw': 45}, ((0, 6), (0, 65)): {'bw': 36}, ((0, 6), (65, 6)): {'bw': 36}, ((1, 2), (1, 22)): {'bw': 15}, ((1, 2), (22, 2)): {'bw': 15}, ((1, 5), (1, 5)): {'bw': 40}, ((2, 4), (2, 21)): {'bw': 47}, ((2, 4), (21, 4)): {'bw': 47}, ((2, 5), (2, 21)): {'bw': 1}, ((2, 5), (21, 5)): {'bw': 1}, ((3, 4), (3, 58)): {'bw': 35}, ((3, 4), (58, 4)): {'bw': 35}, ((3, 6), (3, 40)): {'bw': 19}, ((3, 6), (40, 29)): {'bw': 19}, ((3, 6), (29, 6)): {'bw': 19}, ((4, 5), (4, 29)): {'bw': 25}, ((4, 5), (29, 5)): {'bw': 25}}",525.0,328.0,328.0,65.0,263.0,65.0,263.0,65.0,460.0,197.0,0.6247619047619047,80422.438010993,50244.8755573442,95.70452487113181,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -76}, 1: {'cpu': -56}, 2: {'cpu': -49}, 3: {'cpu': -44}, 4: {'cpu': -45}, 5: {'cpu': -52}, 6: {'cpu': -65}}, 'link_level': {(0, 4): {'bw': -29}, (0, 6): {'bw': -3}, (1, 2): {'bw': -57}, (1, 5): {'bw': -29}, (2, 4): {'bw': -22}, (2, 5): {'bw': -35}, (3, 4): {'bw': -15}, (3, 6): {'bw': -37}, (4, 5): {'bw': -37}}, 'path_level': {(0, 4): {'latency': -6.531478796849546}, (0, 6): {'latency': -7.891363636848981}, (1, 2): {'latency': -8.500406488224819}, (1, 5): {'latency': -2.4098270560725994}, (2, 4): {'latency': -5.560781366164809}, (2, 5): {'latency': -6.418421822809988}, (3, 4): {'latency': -4.790587203285311}, (3, 6): {'latency': -3.641940224875434}, (4, 5): {'latency': -5.907294104344203}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (3, 4): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 4): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 5): {'latency': 0}, (2, 4): {'latency': 0}, (2, 5): {'latency': 0}, (3, 4): {'latency': 0}, (3, 6): {'latency': 0}, (4, 5): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,7.0,9.0
9,2,2,360.0,574.0,68556.61666835399,108462.29158722676,0.627177700348432,0.6320778923725753,7,9,1,107.0,42060,7681,34379,0.010307950006442468,0.014165686921113751,8,1306.7725652947581,107.0,9,21,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 1): [(0, 11), (11, 8), (8, 1)], (0, 6): [(0, 4), (4, 29), (29, 6)], (1, 2): [(1, 22), (22, 2)], (1, 3): [(1, 8), (8, 25), (25, 3)], (1, 4): [(1, 22), (22, 4)], (1, 6): []}","{(0, 0): {'cpu': 4}, (1, 1): {'cpu': 5}, (2, 2): {'cpu': 19}, (3, 3): {'cpu': 15}, (4, 4): {'cpu': 11}, (5, 5): {'cpu': 3}, (6, 6): {'cpu': 15}, (7, 7): {'cpu': 16}, (8, 8): {'cpu': 9}}","{((0, 1), (0, 11)): {'bw': 38}, ((0, 1), (11, 8)): {'bw': 38}, ((0, 1), (8, 1)): {'bw': 38}, ((0, 6), (0, 4)): {'bw': 28}, ((0, 6), (4, 29)): {'bw': 28}, ((0, 6), (29, 6)): {'bw': 28}, ((1, 2), (1, 22)): {'bw': 34}, ((1, 2), (22, 2)): {'bw': 34}, ((1, 3), (1, 8)): {'bw': 35}, ((1, 3), (8, 25)): {'bw': 35}, ((1, 3), (25, 3)): {'bw': 35}, ((1, 4), (1, 22)): {'bw': 11}, ((1, 4), (22, 4)): {'bw': 11}}",0.0,0.0,657.0,97.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,19.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -72}, 1: {'cpu': -51}, 2: {'cpu': -30}, 3: {'cpu': -29}, 4: {'cpu': -34}, 5: {'cpu': -49}, 6: {'cpu': -50}, 7: {'cpu': -44}, 8: {'cpu': -84}}, 'link_level': {(0, 1): {'bw': -19}, (0, 6): {'bw': -1}, (1, 2): {'bw': -23}, (1, 3): {'bw': -15}, (1, 4): {'bw': -12}, (1, 6): {'bw': 19}}, 'path_level': {(0, 1): {'latency': -7.553209643646959}, (0, 6): {'latency': -5.2694994568182}, (1, 2): {'latency': -4.440780081788752}, (1, 3): {'latency': -3.9003813037958945}, (1, 4): {'latency': -2.5921698389463206}, (1, 6): {'latency': 5.438766592677532}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 19}}, 'path_level': {(0, 1): {'latency': 0}, (0, 6): {'latency': 0}, (1, 2): {'latency': 0}, (1, 3): {'latency': 0}, (1, 4): {'latency': 0}, (1, 6): {'latency': 5.438766592677532}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,6.0
