solver_name,reward_calculator_name,feature_constructor_used_features,run_id,num_train_epochs
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T124134-1994,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T124417-4204,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T124656-9381,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T124932-1929,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T125221-3856,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T125506-8901,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T125716-1507,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T125954-9050,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T130217-8876,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T130449-0729,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T130709-4401,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T130912-4579,50
rdma_rank_wo_link_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T131044-8130,50
rdma_rank_wo_link_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T131157-6440,50
rdma_rank_wo_link_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T131316-0874,50
rdma_rank_wo_link_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T131428-5053,50
rdma_rank_wo_link_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T131535-6667,50
rdma_rank_wo_traffic_type,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T131808-2734,50
rdma_rank_wo_traffic_type,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T132055-9487,50
rdma_rank_wo_traffic_type,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T132411-9775,50
rdma_rank_wo_traffic_type,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T132716-8998,50
rdma_rank_wo_traffic_type,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T132952-5818,50
rdma_rank_wo_rdma_tcp_selection,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T133247-4222,50
rdma_rank_wo_rdma_tcp_selection,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T133530-6796,50
rdma_rank_wo_rdma_tcp_selection,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T133808-3815,50
rdma_rank_wo_rdma_tcp_selection,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T133942-2917,50
rdma_rank_wo_rdma_tcp_selection,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T134204-6756,50
rdma_rank_wo_nic_scarcity,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T134459-3257,50
rdma_rank_wo_nic_scarcity,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T134702-1305,50
rdma_rank_wo_nic_scarcity,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T134845-1687,50
rdma_rank_wo_nic_scarcity,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T135013-0507,50
rdma_rank_wo_nic_scarcity,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T135120-6140,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T135242-7989,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T135525-8089,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T135834-3644,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T140139-5473,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T140404-5116,50
rdma_rank_wo_all_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T140656-0637,50
rdma_rank_wo_all_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T140919-7347,50
rdma_rank_wo_all_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T141149-5907,50
rdma_rank_wo_all_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T141359-7487,50
rdma_rank_wo_all_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T141503-7793,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T145233-3342,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T145511-7896,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T145756-7325,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T150036-3663,50
rdma_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T150241-3406,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T150452-5366,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T150651-1585,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T150916-8718,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T151028-0431,50
rdma_rank_wo_node_rdma,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T151135-5192,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T151303-4455,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T151541-1339,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T151825-5601,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T152034-7378,50
rdma_rank_wo_slack,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],KRUSTYCRAB-20260507T152215-5560,50
